key,title,phones,address,latitude,longitude
161,Аптека 555,+77272705782,"Алматы, пр. Абылай Хана, д 27",,
162,Аптека LUCKY (Лакки),+77273924286,"Алматы, ул. Сатпаева, д 109",43.237488299999995,76.9327603
163,Аптека Vale-Angel (Вэйл-Энджел),+77272799550,"Алматы, ул. Наурызбай батыра, 68",43.256950200000006,76.9361963
164,Аптека А+,+77273791638,"Алматы, пр. Гагарина, 10",,
165,Аптека А+,+77272969820,"Алматы, пр. Достык, 220",,
166,Аптека А+,+77272555660,"Алматы, мкрн. Мамыр - 1, д. 3",,
167,Аптека А+,+77273291528,"Алматы, ул. Манаса, 65",43.232757,76.9092268
168,Аптека А+ отдел РПО,+77273959485,"Алматы, пр. Гагарина, 10",,
169,Аптека Новая,+77272422000,"Алматы, мкрн. Орбита 2, дом 6",,
170,Аптека Оптовые цены,"+77272720266,+77272728132","Алматы, ул. Сейфуллина, д 534",43.2587598,76.79689029999999
171,Аптека Оптовые цены,+77272698140,"Алматы, ул. Богенбай батыра, 266",43.2536314,76.95261640000001
172,АПТЕКА ПЛЮС,"+77272740707,+77272754545","Алматы, ул. Ауэзова, д 175",43.237449,76.9042682
173,Аптека № 19,+77272761262,"Алматы, мкрн. 2, д. 52",,
174,Аптека № 19,+77272761262,"Алматы, 2 мкрн. д. 52",,
175,Аптека №16,+77273156615,"Алматы, Асыл Арман, д 7",43.23120040000001,76.75137313418739
176,Аптека №19,+77272761262,"Алматы, мкрн 2, д 52",,
177,АПТЕКА-DA'RIHANA,"+77771259955,+77017580297","Алматы, ул. Попова, 22",43.22594535,76.93399149999998
178,Аптека№41,+77273090254,"Алматы, Пятницкого, д 52",43.2090148,76.8696252
179,Аптека№7,+77272779707,"Алматы, ул. Курмангазы, д 144",43.245102200000005,76.9532258
180,Аптека№8,+77272601966,"Алматы, Бульвар Мендикулова, д 98",43.231136,76.95358259999999
181,Аптека№84,+77273900515,"Алматы, ул. Толе би, д 249",43.2566146,76.9813071
182,Аптечный склад,+77272690222,"Алматы, мкрн 4 Мамыр, д 197",,
183,Аптечный склад,+77272690222,"Алматы, Ауэзова (Калкаман2), д 20",,
184,Арай ИП,+77273035550,"Алматы, мкрн 11, д 3а",,
185,АрайФарм,+77273822755,"Алматы, ул. Макатаева, д 12",43.2652782,76.9645783
186,Ару,+77272517054,"Алматы, пр. Гагарина,д 12а",,
187,АС,+77273793067,"Алматы, Радостовца,д 13",43.2269623,76.8941329
188,АСДари,+77273739301,"Алматы, Брусиловского,д 40а",,
189,АсДиФарм,+77475426504,"Алматы, Суюнбая, д 55",43.2708545,76.9509728
190,Аскарова ИП,+77273741380,"Алматы, Тургут Озала, д 67",,
191,Аскерова ИП,+77272236079,"Алматы, пр Суюнбая , д 263/1",,
192,Аслан,+77272263930,"Алматы, Ауэзова (Калкаман2), д 162",,
193,Асланова ИП,+77272348677,"Алматы, Победы, д 7",43.358785,77.1472186
194,Асмед,+77273512504,"Алматы, мкрн. Мамыр - 1, д.29/6",,
195,АспанФарм,+77273853372,"Алматы, Алты-Алаш, д 1а",,
196,АспанФарм,+77273869686,"Алматы, Кабдолова, д 2",43.2359486,76.84860340000002
197,АсылТау,+77273236798,"Алматы, Егизбаева, д 7аблок 1",,
198,Аудан-Дари,+77272643319,"Алматы, мкрн 1 Самал, д 1",,
199,Аупбаева ИП,+77273927995,"Алматы, ул. Розыбакиева, 75",43.23559485,76.88958569806283
200,Ахтинова ИП,"+77778174572,+77773529238","Алматы, Мустафина, д 90",43.2005753,76.6645235
201,Аширбаева ИП,+77277134699,"Алматы, Суюнбая, д 80",43.2708545,76.9509728
202,Аэросервис,+77272513410,"Алматы, ул. Наманганская, 51",43.34131885,76.98302438543006
203,Аян ИП,+77018302320,"Алматы, Жана арна,д 1Б",,
204,Аян ИП,+77273855697,"Алматы, мкрн Шугыла, д 3",,
205,Баекенова Ип,+77273383421,"Алматы, Огарёва, д 9",43.342939,77.00740090000001
206,Баимбетова ИП,+77273038878,"Алматы, мкрн. 8, д.81",,
207,Баимбетова ИП,+77272797072,"Алматы, ул. Сейфуллина, 440 ",43.2587598,76.79689029999999
208,Баимбетова ИП,+77272301566,"Алматы, ул. Саина, 22",43.215712100000005,76.8559219
209,Байгожанова ИП,+77273733852,"Алматы, мкрн. Аксай 4, д 14",,
